"year" "measurement_type" "value"
"92" 1955 "europe_temp_index" 0.17
"93" 1954 "n_tree" 0.17
"94" 1954 "europe_temp_index" 0.07
"95" 1953 "n_tree" 0.78
"96" 1953 "europe_temp_index" 0.62
"97" 1952 "n_tree" 0.13
"98" 1952 "europe_temp_index" 0.64
"99" 1951 "n_tree" 0.39
"100" 1951 "europe_temp_index" 0.53
"101" 1950 "n_tree" 0.46
"102" 1950 "europe_temp_index" 1.03
"103" 1949 "n_tree" -0.79
"104" 1949 "europe_temp_index" 0.24
"105" 1948 "n_tree" -0.54
"106" 1948 "europe_temp_index" -0.1
"107" 1947 "n_tree" 0.5
"108" 1947 "europe_temp_index" 1.16
"109" 1946 "n_tree" 0.15
"110" 1946 "europe_temp_index" 0.55
"111" 1945 "n_tree" 0.18
"112" 1945 "europe_temp_index" 0.6
"113" 1944 "n_tree" -0.41
"114" 1944 "europe_temp_index" 0.28
"115" 1943 "n_tree" 0.24
"116" 1943 "europe_temp_index" 0.51
"117" 1942 "n_tree" 0.32
"118" 1942 "europe_temp_index" 0.15
"119" 1941 "n_tree" -0.64
"120" 1941 "europe_temp_index" 0.08
"121" 1940 "n_tree" 0.38
"122" 1940 "europe_temp_index" -0.08
"123" 1939 "n_tree" 1.01
"124" 1939 "europe_temp_index" 0.36
"125" 1938 "n_tree" 1.09
"126" 1938 "europe_temp_index" 0.48
"127" 1937 "n_tree" 1.64
"128" 1937 "europe_temp_index" 0.86
"129" 1936 "n_tree" -0.09
"130" 1936 "europe_temp_index" 0.05
"131" 1935 "n_tree" 0
"132" 1935 "europe_temp_index" 0.19
"133" 1934 "n_tree" -0.17
"134" 1934 "europe_temp_index" 0.51
"135" 1933 "n_tree" 0.19
"136" 1933 "europe_temp_index" 0.21
"137" 1932 "n_tree" -0.43
"138" 1932 "europe_temp_index" 0.08
"139" 1931 "n_tree" -0.33
"140" 1931 "europe_temp_index" -0.12
"141" 1930 "n_tree" 0.44
"142" 1930 "europe_temp_index" 0.71
"143" 1929 "n_tree" -0.45
"144" 1929 "europe_temp_index" 0.11
"145" 1928 "n_tree" -0.24
"146" 1928 "europe_temp_index" 0.15
"147" 1927 "n_tree" 0.49
"148" 1927 "europe_temp_index" 0.2
"149" 1926 "n_tree" 0.07
"150" 1926 "europe_temp_index" -0.13
"151" 1925 "n_tree" 0.31
"152" 1925 "europe_temp_index" 0.15
"153" 1924 "n_tree" 0.42
"154" 1924 "europe_temp_index" 0.05
"155" 1923 "n_tree" -0.64
"156" 1923 "europe_temp_index" -0.67
"157" 1922 "n_tree" 0.47
"158" 1922 "europe_temp_index" 0.06
"159" 1921 "n_tree" -0.03
"160" 1921 "europe_temp_index" 0.23
"161" 1920 "n_tree" -0.43
"162" 1920 "europe_temp_index" -0.16
"163" 1919 "n_tree" -0.85
"164" 1919 "europe_temp_index" -0.38
"165" 1918 "n_tree" -0.34
"166" 1918 "europe_temp_index" -0.18
"167" 1917 "n_tree" -0.48
"168" 1917 "europe_temp_index" 0.21
"169" 1916 "n_tree" -1.39
"170" 1916 "europe_temp_index" -0.74
"171" 1915 "n_tree" -0.79
"172" 1915 "europe_temp_index" -0.47
"173" 1914 "n_tree" -1.02
"174" 1914 "europe_temp_index" -0.41
"175" 1913 "n_tree" -1.72
"176" 1913 "europe_temp_index" -0.86
"177" 1912 "n_tree" -1.09
"178" 1912 "europe_temp_index" -0.51
"179" 1911 "n_tree" -0.4
"180" 1911 "europe_temp_index" 0.1
"181" 1910 "n_tree" -0.8
"182" 1910 "europe_temp_index" -0.39
"183" 1909 "n_tree" -0.78
"184" 1909 "europe_temp_index" -0.95
"185" 1908 "n_tree" -0.21
"186" 1908 "europe_temp_index" -0.02
"187" 1907 "n_tree" -0.77
"188" 1907 "europe_temp_index" -0.48
"189" 1906 "n_tree" -0.91
"190" 1906 "europe_temp_index" -0.27
"191" 1905 "n_tree" -1.04
"192" 1905 "europe_temp_index" -0.25
"193" 1904 "n_tree" -1.33
"194" 1904 "europe_temp_index" -0.21
"195" 1903 "n_tree" -1.47
"196" 1903 "europe_temp_index" -0.75
"197" 1902 "n_tree" -1.6
"198" 1902 "europe_temp_index" -1.05
"199" 1901 "n_tree" -0.02
"200" 1901 "europe_temp_index" 0.4
"201" 1900 "n_tree" -0.95
"202" 1900 "europe_temp_index" -0.11
"203" 1899 "n_tree" -2.01
"204" 1899 "europe_temp_index" -0.71
"205" 1898 "n_tree" -0.31
"206" 1898 "europe_temp_index" -0.19
"207" 1897 "n_tree" -0.34
"208" 1897 "europe_temp_index" 0.25
"209" 1896 "n_tree" -0.78
"210" 1896 "europe_temp_index" -0.31
"211" 1895 "n_tree" -0.22
"212" 1895 "europe_temp_index" 0.28
"213" 1894 "n_tree" -0.53
"214" 1894 "europe_temp_index" 0.08
"215" 1893 "n_tree" -1.36
"216" 1893 "europe_temp_index" -0.28
"217" 1892 "n_tree" -1.71
"218" 1892 "europe_temp_index" -0.56
"219" 1891 "n_tree" -1.59
"220" 1891 "europe_temp_index" -0.72
"221" 1890 "n_tree" -1.02
"222" 1890 "europe_temp_index" -0.45
"223" 1889 "n_tree" -0.82
"224" 1889 "europe_temp_index" -0.01
"225" 1888 "n_tree" -1.4
"226" 1888 "europe_temp_index" -0.88
"227" 1887 "n_tree" -1
"228" 1887 "europe_temp_index" -0.18
"229" 1886 "n_tree" -0.56
"230" 1886 "europe_temp_index" -0.3
"231" 1885 "n_tree" -1.65
"232" 1885 "europe_temp_index" -0.52
"233" 1884 "n_tree" -1.08
"234" 1884 "europe_temp_index" -0.32
"235" 1883 "n_tree" -0.01
"236" 1883 "europe_temp_index" 0.18
"237" 1882 "n_tree" -0.62
"238" 1882 "europe_temp_index" -0.33
"239" 1881 "n_tree" -1.56
"240" 1881 "europe_temp_index" -0.47
"241" 1880 "n_tree" -1.15
"242" 1880 "europe_temp_index" -0.49
"243" 1879 "n_tree" 0
"244" 1879 "europe_temp_index" 0.12
"245" 1878 "n_tree" -0.31
"246" 1878 "europe_temp_index" -0.19
"247" 1877 "n_tree" -0.89
"248" 1877 "europe_temp_index" -0.27
"249" 1876 "n_tree" -0.38
"250" 1876 "europe_temp_index" 0.07
"251" 1875 "n_tree" -0.22
"252" 1875 "europe_temp_index" 0.45
"253" 1874 "n_tree" -0.65
"254" 1874 "europe_temp_index" -0.08
"255" 1873 "n_tree" -0.23
"256" 1873 "europe_temp_index" 0.35
"257" 1872 "n_tree" -0.52
"258" 1872 "europe_temp_index" -0.04
"259" 1871 "n_tree" -1.33
"260" 1871 "europe_temp_index" -0.67
"261" 1870 "n_tree" 0.08
"262" 1870 "europe_temp_index" 0.2
"263" 1869 "n_tree" -0.99
"264" 1869 "europe_temp_index" -0.48
"265" 1868 "n_tree" -0.31
"266" 1868 "europe_temp_index" 0.52
"267" 1867 "n_tree" -1.45
"268" 1867 "europe_temp_index" -0.45
"269" 1866 "n_tree" -0.67
"270" 1866 "europe_temp_index" -0.38
"271" 1865 "n_tree" -1.27
"272" 1865 "europe_temp_index" -0.12
"273" 1864 "n_tree" -1.06
"274" 1864 "europe_temp_index" -0.56
"275" 1863 "n_tree" -0.82
"276" 1863 "europe_temp_index" 0
"277" 1862 "n_tree" -0.84
"278" 1862 "europe_temp_index" -0.14
"279" 1861 "n_tree" -0.21
"280" 1861 "europe_temp_index" 0.4
"281" 1860 "n_tree" -0.62
"282" 1860 "europe_temp_index" -0.49
"283" 1859 "n_tree" -1.2
"284" 1859 "europe_temp_index" -0.06
"285" 1858 "n_tree" -0.55
"286" 1858 "europe_temp_index" 0.11
"287" 1857 "n_tree" -1.29
"288" 1857 "europe_temp_index" -0.21
"289" 1856 "n_tree" -1.8
"290" 1856 "europe_temp_index" -0.69
"291" 1855 "n_tree" -1.19
"292" 1855 "europe_temp_index" -0.08
"293" 1854 "n_tree" -0.33
"294" 1854 "europe_temp_index" -0.01
"295" 1853 "n_tree" -0.54
"296" 1853 "europe_temp_index" -0.05
"297" 1852 "n_tree" -0.51
"298" 1852 "europe_temp_index" 0
"299" 1851 "n_tree" -1.6
"300" 1851 "europe_temp_index" -0.75
"301" 1850 "n_tree" -0.76
"302" 1850 "europe_temp_index" -0.25
"303" 1849 "n_tree" -1.33
"304" 1849 "europe_temp_index" -0.37
"305" 1848 "n_tree" -0.91
"306" 1848 "europe_temp_index" -0.24
"307" 1847 "n_tree" -0.02
"308" 1847 "europe_temp_index" -0.08
"309" 1846 "n_tree" -0.28
"310" 1846 "europe_temp_index" 0.52
"311" 1845 "n_tree" -0.74
"312" 1845 "europe_temp_index" -0.22
"313" 1844 "n_tree" -0.45
"314" 1844 "europe_temp_index" -0.31
"315" 1843 "n_tree" -1.64
"316" 1843 "europe_temp_index" -0.82
"317" 1842 "n_tree" -0.79
"318" 1842 "europe_temp_index" 0.35
"319" 1841 "n_tree" -1.72
"320" 1841 "europe_temp_index" -0.8
"321" 1840 "n_tree" -1.59
"322" 1840 "europe_temp_index" -0.68
"323" 1839 "n_tree" -1.71
"324" 1839 "europe_temp_index" -0.54
"325" 1838 "n_tree" -2.32
"326" 1838 "europe_temp_index" -1.05
"327" 1837 "n_tree" -2.15
"328" 1837 "europe_temp_index" -0.66
"329" 1836 "n_tree" -2.41
"330" 1836 "europe_temp_index" -0.8
"331" 1835 "n_tree" -1.4
"332" 1835 "europe_temp_index" -0.43
"333" 1834 "n_tree" -1.33
"334" 1834 "europe_temp_index" 0.33
"335" 1833 "n_tree" -1.8
"336" 1833 "europe_temp_index" -0.95
"337" 1832 "n_tree" -1.67
"338" 1832 "europe_temp_index" -0.6
"339" 1831 "n_tree" 0.03
"340" 1831 "europe_temp_index" 0.25
"341" 1830 "n_tree" -1.61
"342" 1830 "europe_temp_index" -0.34
"343" 1829 "n_tree" -1.38
"344" 1829 "europe_temp_index" -0.7
"345" 1828 "n_tree" -1.14
"346" 1828 "europe_temp_index" 0
"347" 1827 "n_tree" -0.75
"348" 1827 "europe_temp_index" -0.14
"349" 1826 "n_tree" -0.53
"350" 1826 "europe_temp_index" 0.49
"351" 1825 "n_tree" -2.01
"352" 1825 "europe_temp_index" -0.54
"353" 1824 "n_tree" -1.47
"354" 1824 "europe_temp_index" -0.46
"355" 1823 "n_tree" -1.13
"356" 1823 "europe_temp_index" -0.33
"357" 1822 "n_tree" -1.83
"358" 1822 "europe_temp_index" -0.03
"359" 1821 "n_tree" -3.28
"360" 1821 "europe_temp_index" -1.73
"361" 1820 "n_tree" -2.15
"362" 1820 "europe_temp_index" -0.73
"363" 1819 "n_tree" -1.67
"364" 1819 "europe_temp_index" -0.29
"365" 1818 "n_tree" -2.51
"366" 1818 "europe_temp_index" -0.71
"367" 1817 "n_tree" -2.05
"368" 1817 "europe_temp_index" -0.76
"369" 1816 "n_tree" -2.33
"370" 1816 "europe_temp_index" -1.55
"371" 1815 "n_tree" -2.18
"372" 1815 "europe_temp_index" -1.2
"373" 1814 "n_tree" -1.53
"374" 1814 "europe_temp_index" -0.68
"375" 1813 "n_tree" -1.76
"376" 1813 "europe_temp_index" -1.2
"377" 1812 "n_tree" -2.4
"378" 1812 "europe_temp_index" -1.19
"379" 1811 "n_tree" -1.1
"380" 1811 "europe_temp_index" -0.09
"381" 1810 "n_tree" -2.33
"382" 1810 "europe_temp_index" -0.9
"383" 1809 "n_tree" -1.25
"384" 1809 "europe_temp_index" -0.54
"385" 1808 "n_tree" -0.32
"386" 1808 "europe_temp_index" 0.02
"387" 1807 "n_tree" -0.61
"388" 1807 "europe_temp_index" 0.46
"389" 1806 "n_tree" -1.22
"390" 1806 "europe_temp_index" -0.46
"391" 1805 "n_tree" -0.78
"392" 1805 "europe_temp_index" -0.66
"393" 1804 "n_tree" -0.34
"394" 1804 "europe_temp_index" 0.21
"395" 1803 "n_tree" -0.38
"396" 1803 "europe_temp_index" -0.07
"397" 1802 "n_tree" -0.83
"398" 1802 "europe_temp_index" -0.21
"399" 1801 "n_tree" -0.51
"400" 1801 "europe_temp_index" -0.36
"401" 1800 "n_tree" -1.05
"402" 1800 "europe_temp_index" -0.48
"403" 1799 "n_tree" -0.4
"404" 1799 "europe_temp_index" -0.35
"405" 1798 "n_tree" 0.21
"406" 1798 "europe_temp_index" 0.4
"407" 1797 "n_tree" -0.44
"408" 1797 "europe_temp_index" 0.07
"409" 1796 "n_tree" -0.01
"410" 1796 "europe_temp_index" -0.07
"411" 1795 "n_tree" -0.7
"412" 1795 "europe_temp_index" -0.43
"413" 1794 "n_tree" -0.29
"414" 1794 "europe_temp_index" -0.03
"415" 1793 "n_tree" -0.36
"416" 1793 "europe_temp_index" -0.16
"417" 1792 "n_tree" -0.7
"418" 1792 "europe_temp_index" -0.29
"419" 1791 "n_tree" -0.09
"420" 1791 "europe_temp_index" -0.07
"421" 1790 "n_tree" -1.31
"422" 1790 "europe_temp_index" -0.79
"423" 1789 "n_tree" 0.13
"424" 1789 "europe_temp_index" -0.17
"425" 1788 "n_tree" -0.31
"426" 1788 "europe_temp_index" 0.01
"427" 1787 "n_tree" -0.8
"428" 1787 "europe_temp_index" -0.55
"429" 1786 "n_tree" -0.21
"430" 1786 "europe_temp_index" -0.8
"431" 1785 "n_tree" -0.11
"432" 1785 "europe_temp_index" -0.65
"433" 1784 "n_tree" -0.06
"434" 1784 "europe_temp_index" -0.22
"435" 1783 "n_tree" -1.06
"436" 1783 "europe_temp_index" -0.4
"437" 1782 "n_tree" -0.55
"438" 1782 "europe_temp_index" -0.01
"439" 1781 "n_tree" -0.37
"440" 1781 "europe_temp_index" 0.11
"441" 1780 "n_tree" 0.12
"442" 1780 "europe_temp_index" 0.14
"443" 1779 "n_tree" -0.23
"444" 1779 "europe_temp_index" -0.2
"445" 1778 "n_tree" 0.05
"446" 1778 "europe_temp_index" 0.15
"447" 1777 "n_tree" -0.85
"448" 1777 "europe_temp_index" -0.49
"449" 1776 "n_tree" 0.19
"450" 1776 "europe_temp_index" 0.21
"451" 1775 "n_tree" 0.4
"452" 1775 "europe_temp_index" 0.47
"453" 1774 "n_tree" -0.37
"454" 1774 "europe_temp_index" 0.11
"455" 1773 "n_tree" -0.36
"456" 1773 "europe_temp_index" -0.18
"457" 1772 "n_tree" -1.93
"458" 1772 "europe_temp_index" -0.51
"459" 1771 "n_tree" -1.06
"460" 1771 "europe_temp_index" -0.6
"461" 1770 "n_tree" -1.26
"462" 1770 "europe_temp_index" -0.44
"463" 1769 "n_tree" -0.88
"464" 1769 "europe_temp_index" -0.42
"465" 1768 "n_tree" -1.52
"466" 1768 "europe_temp_index" -0.52
"467" 1767 "n_tree" 0.06
"468" 1767 "europe_temp_index" -0.19
"469" 1766 "n_tree" -0.33
"470" 1766 "europe_temp_index" 0.28
"471" 1765 "n_tree" -0.87
"472" 1765 "europe_temp_index" -0.31
"473" 1764 "n_tree" -0.45
"474" 1764 "europe_temp_index" -0.04
"475" 1763 "n_tree" -0.37
"476" 1763 "europe_temp_index" 0.21
"477" 1762 "n_tree" -0.57
"478" 1762 "europe_temp_index" 0.07
"479" 1761 "n_tree" 0.45
"480" 1761 "europe_temp_index" 0.56
"481" 1760 "n_tree" 0.33
"482" 1760 "europe_temp_index" 0.09
"483" 1759 "n_tree" -0.75
"484" 1759 "europe_temp_index" -0.07
"485" 1758 "n_tree" -0.47
"486" 1758 "europe_temp_index" -0.37
"487" 1757 "n_tree" 0.32
"488" 1757 "europe_temp_index" 0.53
"489" 1756 "n_tree" -0.88
"490" 1756 "europe_temp_index" -0.22
"491" 1755 "n_tree" -0.49
"492" 1755 "europe_temp_index" 0.14
"493" 1754 "n_tree" -0.17
"494" 1754 "europe_temp_index" 0.09
"495" 1753 "n_tree" -1.13
"496" 1753 "europe_temp_index" -0.28
"497" 1752 "n_tree" -0.64
"498" 1752 "europe_temp_index" 0.21
"499" 1751 "n_tree" -0.44
"500" 1751 "europe_temp_index" -0.36
"501" 1750 "n_tree" -1.29
"502" 1750 "europe_temp_index" -0.46
"503" 1749 "n_tree" -0.98
"504" 1749 "europe_temp_index" -0.29
"505" 1748 "n_tree" -0.77
"506" 1748 "europe_temp_index" 0.1
"507" 1747 "n_tree" -1.07
"508" 1747 "europe_temp_index" -0.23
"509" 1746 "n_tree" -0.65
"510" 1746 "europe_temp_index" 0.14
"511" 1745 "n_tree" -1.08
"512" 1745 "europe_temp_index" -0.28
"513" 1744 "n_tree" -0.53
"514" 1744 "europe_temp_index" -0.33
"515" 1743 "n_tree" -1.11
"516" 1743 "europe_temp_index" -0.73
"517" 1742 "n_tree" -1.4
"518" 1742 "europe_temp_index" -0.86
"519" 1741 "n_tree" -1.25
"520" 1741 "europe_temp_index" -1.08
"521" 1740 "n_tree" -0.48
"522" 1740 "europe_temp_index" -0.72
"523" 1739 "n_tree" -0.65
"524" 1739 "europe_temp_index" -0.2
"525" 1738 "n_tree" -0.37
"526" 1738 "europe_temp_index" 0.2
"527" 1737 "n_tree" -0.75
"528" 1737 "europe_temp_index" -0.41
"529" 1736 "n_tree" -0.1
"530" 1736 "europe_temp_index" 0.19
"531" 1735 "n_tree" -1.04
"532" 1735 "europe_temp_index" -0.23
"533" 1734 "n_tree" -0.83
"534" 1734 "europe_temp_index" -0.48
"535" 1733 "n_tree" -1.14
"536" 1733 "europe_temp_index" -0.44
"537" 1732 "n_tree" -0.68
"538" 1732 "europe_temp_index" -0.48
"539" 1731 "n_tree" -0.99
"540" 1731 "europe_temp_index" -0.32
"541" 1730 "n_tree" -0.33
"542" 1730 "europe_temp_index" 0.02
"543" 1729 "n_tree" -0.4
"544" 1729 "europe_temp_index" 0.06
"545" 1728 "n_tree" -1.03
"546" 1728 "europe_temp_index" -0.04
"547" 1727 "n_tree" -0.02
"548" 1727 "europe_temp_index" 0.24
"549" 1726 "n_tree" -0.41
"550" 1726 "europe_temp_index" 0.29
"551" 1725 "n_tree" -0.34
"552" 1725 "europe_temp_index" -0.76
"553" 1724 "n_tree" -0.26
"554" 1724 "europe_temp_index" 0.18
"555" 1723 "n_tree" -1.37
"556" 1723 "europe_temp_index" -0.46
"557" 1722 "n_tree" -0.92
"558" 1722 "europe_temp_index" -0.52
"559" 1721 "n_tree" -0.95
"560" 1721 "europe_temp_index" -0.59
"561" 1720 "n_tree" -1.07
"562" 1720 "europe_temp_index" -0.62
"563" 1719 "n_tree" -1.28
"564" 1719 "europe_temp_index" 0.01
"565" 1718 "n_tree" -1.37
"566" 1718 "europe_temp_index" -0.16
"567" 1717 "n_tree" -1.48
"568" 1717 "europe_temp_index" -0.67
"569" 1716 "n_tree" -1.04
"570" 1716 "europe_temp_index" -0.79
"571" 1715 "n_tree" -0.15
"572" 1715 "europe_temp_index" -0.05
"573" 1714 "n_tree" -0.94
"574" 1714 "europe_temp_index" -0.56
"575" 1713 "n_tree" -0.64
"576" 1713 "europe_temp_index" -0.55
"577" 1712 "n_tree" -0.7
"578" 1712 "europe_temp_index" -0.2
"579" 1711 "n_tree" -0.53
"580" 1711 "europe_temp_index" -0.16
"581" 1710 "n_tree" -1.13
"582" 1710 "europe_temp_index" -0.64
"583" 1709 "n_tree" -1.58
"584" 1709 "europe_temp_index" -0.99
"585" 1708 "n_tree" -2.22
"586" 1708 "europe_temp_index" -1.06
"587" 1707 "n_tree" -0.4
"588" 1707 "europe_temp_index" 0.15
"589" 1706 "n_tree" -1.97
"590" 1706 "europe_temp_index" -0.27
"591" 1705 "n_tree" -2.32
"592" 1705 "europe_temp_index" -0.8
"593" 1704 "n_tree" -1.68
"594" 1704 "europe_temp_index" -0.5
"595" 1703 "n_tree" -0.59
"596" 1703 "europe_temp_index" -0.08
"597" 1702 "n_tree" -1.08
"598" 1702 "europe_temp_index" -0.3
"599" 1701 "n_tree" -1.79
"600" 1701 "europe_temp_index" -0.64
"601" 1700 "n_tree" -1.24
"602" 1700 "europe_temp_index" -0.4
"603" 1699 "n_tree" -1.84
"604" 1699 "europe_temp_index" -0.78
"605" 1698 "n_tree" -0.78
"606" 1698 "europe_temp_index" -0.91
"607" 1697 "n_tree" -1.71
"608" 1697 "europe_temp_index" -0.98
"609" 1696 "n_tree" -1.8
"610" 1696 "europe_temp_index" -1.04
"611" 1695 "n_tree" -1.42
"612" 1695 "europe_temp_index" -1.38
"613" 1694 "n_tree" -0.95
"614" 1694 "europe_temp_index" -0.48
"615" 1693 "n_tree" -0.57
"616" 1693 "europe_temp_index" -0.02
"617" 1692 "n_tree" -0.46
"618" 1692 "europe_temp_index" -0.7
"619" 1691 "n_tree" -0.87
"620" 1691 "europe_temp_index" -0.37
"621" 1690 "n_tree" -1
"622" 1690 "europe_temp_index" -0.64
"623" 1689 "n_tree" -0.29
"624" 1689 "europe_temp_index" -0.34
"625" 1688 "n_tree" -1.56
"626" 1688 "europe_temp_index" -0.75
"627" 1687 "n_tree" -1.03
"628" 1687 "europe_temp_index" -0.63
"629" 1686 "n_tree" -1.45
"630" 1686 "europe_temp_index" -0.68
"631" 1685 "n_tree" -1.13
"632" 1685 "europe_temp_index" -1.13
"633" 1684 "n_tree" -0.71
"634" 1684 "europe_temp_index" 0.45
"635" 1683 "n_tree" -0.83
"636" 1683 "europe_temp_index" -0.02
"637" 1682 "n_tree" -1.47
"638" 1682 "europe_temp_index" -0.63
"639" 1681 "n_tree" -1.7
"640" 1681 "europe_temp_index" -0.17
"641" 1680 "n_tree" -1.63
"642" 1680 "europe_temp_index" -0.46
"643" 1679 "n_tree" -1.48
"644" 1679 "europe_temp_index" -0.57
"645" 1678 "n_tree" -1.27
"646" 1678 "europe_temp_index" -0.42
"647" 1677 "n_tree" -1.66
"648" 1677 "europe_temp_index" -0.94
"649" 1676 "n_tree" -1.31
"650" 1676 "europe_temp_index" -0.36
"651" 1675 "n_tree" -2.63
"652" 1675 "europe_temp_index" -1.69
"653" 1674 "n_tree" -1.35
"654" 1674 "europe_temp_index" -0.78
"655" 1673 "n_tree" -1.5
"656" 1673 "europe_temp_index" -0.71
"657" 1672 "n_tree" -1.37
"658" 1672 "europe_temp_index" -0.73
"659" 1671 "n_tree" -0.22
"660" 1671 "europe_temp_index" 0
"661" 1670 "n_tree" -1.2
"662" 1670 "europe_temp_index" -0.44
"663" 1669 "n_tree" -1.62
"664" 1669 "europe_temp_index" -0.01
"665" 1668 "n_tree" -1.42
"666" 1668 "europe_temp_index" -0.4
"667" 1667 "n_tree" -1.16
"668" 1667 "europe_temp_index" -0.77
"669" 1666 "n_tree" -0.38
"670" 1666 "europe_temp_index" 0.34
"671" 1665 "n_tree" 0.32
"672" 1665 "europe_temp_index" 0.16
"673" 1664 "n_tree" 0.44
"674" 1664 "europe_temp_index" 0.11
"675" 1663 "n_tree" -1.31
"676" 1663 "europe_temp_index" -1.23
"677" 1662 "n_tree" -0.82
"678" 1662 "europe_temp_index" -0.63
"679" 1661 "n_tree" 0.15
"680" 1661 "europe_temp_index" -0.05
"681" 1660 "n_tree" -0.31
"682" 1660 "europe_temp_index" -0.09
"683" 1659 "n_tree" -0.33
"684" 1659 "europe_temp_index" -0.3
"685" 1658 "n_tree" -0.13
"686" 1658 "europe_temp_index" -0.19
"687" 1657 "n_tree" -0.48
"688" 1657 "europe_temp_index" -0.23
"689" 1656 "n_tree" -0.49
"690" 1656 "europe_temp_index" -0.23
"691" 1655 "n_tree" -0.79
"692" 1655 "europe_temp_index" 0.12
"693" 1654 "n_tree" -1.27
"694" 1654 "europe_temp_index" -0.61
"695" 1653 "n_tree" -1.35
"696" 1653 "europe_temp_index" -0.62
"697" 1652 "n_tree" -0.98
"698" 1652 "europe_temp_index" -0.15
"699" 1651 "n_tree" -0.88
"700" 1651 "europe_temp_index" -0.07
"701" 1650 "n_tree" -0.94
"702" 1650 "europe_temp_index" -0.1
"703" 1649 "n_tree" -0.79
"704" 1649 "europe_temp_index" -0.1
"705" 1648 "n_tree" -0.45
"706" 1648 "europe_temp_index" -0.51
"707" 1647 "n_tree" -2.66
"708" 1647 "europe_temp_index" -1.03
"709" 1646 "n_tree" -1.17
"710" 1646 "europe_temp_index" -0.07
"711" 1645 "n_tree" -1.59
"712" 1645 "europe_temp_index" -0.28
"713" 1644 "n_tree" -1.67
"714" 1644 "europe_temp_index" -0.45
"715" 1643 "n_tree" -1.69
"716" 1643 "europe_temp_index" -0.67
"717" 1642 "n_tree" -1.36
